"Artist","EndDate","Period"
"Alejandro Kuropatwa",2003,"Contemporary Art"
"Bogdan Bogdanović",2010,"Contemporary Art"
"Eugène Atget",1927,"Dada/Surrealism"
"Larry Burrows",1971,"Pop Art/Minimalism"
"Louise Bourgeois",2010,"Contemporary Art"
"Ernst Barlach",1938,"Dada/Surrealism"
"Elaine Lustig Cohen",2016,"Contemporary Art"
"Jean Gorin",1981,"Postmodernism/Y2K Resurgence"
"Ellsworth Kelly",2015,"Contemporary Art"
"Pierre Bonnard",1947,"Abstract Expressionism"
"Aristide Maillol",1944,"Abstract Expressionism"
"George Platt Lynes",1955,"Abstract Expressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"Rudy Burckhardt",1999,"Postmodernism/Y2K Resurgence"
"Otto Mueller",1930,"Dada/Surrealism"
"André Masson",1987,"Postmodernism/Y2K Resurgence"
"Hélio Oiticica",1980,"Postmodernism/Y2K Resurgence"
"Salvador Dalí",1989,"Postmodernism/Y2K Resurgence"
"Gego (Gertrud Goldschmidt)",1994,"Postmodernism/Y2K Resurgence"
"Henri Matisse",1954,"Abstract Expressionism"
"Walker Evans",1975,"Pop Art/Minimalism"
"Karl Struss",1981,"Postmodernism/Y2K Resurgence"
"Joan Miró",1983,"Postmodernism/Y2K Resurgence"
"Milly Steger",1948,"Abstract Expressionism"
"Richard Avedon",2004,"Contemporary Art"
"Francisco de Goya",1828,"Romanticism"
"Joseph Beuys",1986,"Postmodernism/Y2K Resurgence"
"Paul Sharits",1993,"Postmodernism/Y2K Resurgence"
"Alfred H. Barr, Jr.",1981,"Postmodernism/Y2K Resurgence"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Lilly Reich",1947,"Abstract Expressionism"
"Gottfried Honegger",2016,"Contemporary Art"
"James Ensor",1949,"Abstract Expressionism"
"Alighiero Boetti",1994,"Postmodernism/Y2K Resurgence"
"Pablo Picasso",1973,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Francis Picabia",1953,"Abstract Expressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"José Luis Cuevas",2017,"Contemporary Art"
"Paul Cézanne",1906,"Cubism/Futurism"
"Émile Bernard",1941,"Abstract Expressionism"
"Lawrence Weiner",2021,"Contemporary Art"
"Frédéric Bruly Bouabré",2014,"Contemporary Art"
"Georges Rouault",1958,"Abstract Expressionism"
"E. McKnight Kauffer",1954,"Abstract Expressionism"
"Max Pechstein",1955,"Abstract Expressionism"
"Walker Evans",1975,"Pop Art/Minimalism"
"Will Insley",2011,"Contemporary Art"
"Mira Schendel",1988,"Postmodernism/Y2K Resurgence"
"André Masson",1987,"Postmodernism/Y2K Resurgence"
"Othon Friesz",1949,"Abstract Expressionism"
"Joan Miró",1983,"Postmodernism/Y2K Resurgence"
"August Sander",1964,"Pop Art/Minimalism"
"Erica Karawina",2003,"Contemporary Art"
"Louise Bourgeois",2010,"Contemporary Art"
"John D. Graham",1961,"Pop Art/Minimalism"
"Bruce Conner",2008,"Contemporary Art"
"Gustave Doré",1883,"Realism/Impressionism"
"Louise Bourgeois",2010,"Contemporary Art"
"Eugène Atget",1927,"Dada/Surrealism"
"Henri Michaux",1984,"Postmodernism/Y2K Resurgence"
"Pierre Bonnard",1947,"Abstract Expressionism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Aristide Maillol",1944,"Abstract Expressionism"
"Aristide Maillol",1944,"Abstract Expressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"Morris Blackburn",1979,"Pop Art/Minimalism"
"Sigmar Polke",2010,"Contemporary Art"
"Eugène Atget",1927,"Dada/Surrealism"
"Eduardo Paolozzi",2005,"Contemporary Art"
"Pierre Bonnard",1947,"Abstract Expressionism"
"Georges Rouault",1958,"Abstract Expressionism"
"Carlos Cruz-Diez",2019,"Contemporary Art"
"Luigi Ghirri",1992,"Postmodernism/Y2K Resurgence"
